chart_id,chart_type,label_index,pseudo_gold,sample_id,status,outcome_2pct
db65446f33c0ac6bdff08f2cf7f4eacee00158b395d475073e87a80494a4869a,line,1,157.0,,construction_failed,construction_failed
db65446f33c0ac6bdff08f2cf7f4eacee00158b395d475073e87a80494a4869a,line,2,179.0,,construction_failed,construction_failed
ee22dbfdd31eae13188871e35ad1220aa35680eaad07f3f7bbf5cde170a7ccab,bar,0,11.0,,construction_failed,construction_failed
ee22dbfdd31eae13188871e35ad1220aa35680eaad07f3f7bbf5cde170a7ccab,bar,1,-5.0,,construction_failed,construction_failed
d18b81f1b93d3cd5b126e03cb859624f4d73fe274b615b8c6c3daa9a7df9c5cd,bar,0,25.0,fgmvp_0116,accepted,correct_within_2pct
d18b81f1b93d3cd5b126e03cb859624f4d73fe274b615b8c6c3daa9a7df9c5cd,bar,1,15.0,fgmvp_0117,accepted,correct_within_2pct
d18b81f1b93d3cd5b126e03cb859624f4d73fe274b615b8c6c3daa9a7df9c5cd,bar,2,10.0,fgmvp_0118,accepted,correct_within_2pct
d18b81f1b93d3cd5b126e03cb859624f4d73fe274b615b8c6c3daa9a7df9c5cd,bar,3,5.0,,construction_failed,construction_failed
d18b81f1b93d3cd5b126e03cb859624f4d73fe274b615b8c6c3daa9a7df9c5cd,bar,4,5.0,fgmvp_0119,accepted,correct_within_2pct
d06513beafeca7f3e1dc8da074a588cc5d0c935e67fdd01ac8c2acef9142d58f,line,0,16.0,fgmvp_0120,accepted,correct_within_2pct
7f16cc145bc005a436fb69db7be0cda47321305cde0efa1b7027b543351266a6,bar,0,300.0,fgmvp_0121,accepted,correct_within_2pct
7f16cc145bc005a436fb69db7be0cda47321305cde0efa1b7027b543351266a6,bar,1,347.0,fgmvp_0122,accepted,correct_within_2pct
7f16cc145bc005a436fb69db7be0cda47321305cde0efa1b7027b543351266a6,bar,2,193.0,fgmvp_0123,accepted,correct_within_2pct
7f16cc145bc005a436fb69db7be0cda47321305cde0efa1b7027b543351266a6,bar,3,170.0,fgmvp_0124,accepted,correct_within_2pct
7f16cc145bc005a436fb69db7be0cda47321305cde0efa1b7027b543351266a6,bar,4,145.0,fgmvp_0125,accepted,correct_within_2pct
9efe1402c083bf79684f6e713f4071cd47b949e49f35484631191aad18da0102,bar,0,83.1,fgmvp_0126,accepted,correct_within_2pct
9efe1402c083bf79684f6e713f4071cd47b949e49f35484631191aad18da0102,bar,1,54.0,fgmvp_0127,accepted,correct_within_2pct
9efe1402c083bf79684f6e713f4071cd47b949e49f35484631191aad18da0102,bar,2,45.0,fgmvp_0128,accepted,correct_within_2pct
9efe1402c083bf79684f6e713f4071cd47b949e49f35484631191aad18da0102,bar,3,38.8,fgmvp_0129,accepted,correct_within_2pct
