stage,chart_id,chart_kind,sample_id,status,reason
construction,733bfd49d5c1304ddf3b0aaaa4e8a1aed52bf719cf0e377e57de9d25707b639d,single_line,,no_coherent_x_anchor_sequence,
construction,74c1f96114e4695d5358d2ef4d49aaf01b1fcc21587e97620827fe926d8190fe,single_line,,no_coherent_x_anchor_sequence,
construction,759769bfc34d2276057c1137401274d5e2bd2462a773dc7be9f5b94f7f9d3154,multi_line,,no_coherent_x_anchor_sequence,
construction,761e2237f8d142286e26fc5836182e6de753e96f0cb96b4108926f53254cfbdc,single_line,,no_coherent_x_anchor_sequence,
construction,785c295d56f999c992be816668d2cff9eed8392ee1be4d7e9604231848918104,single_line,,accepted,
construction,792440321b863ac6be350ce8b609ebfb542df939f1746c22c34e55e0ca0d0815,multi_line,,no_coherent_x_anchor_sequence,
construction,7bdb29b657afc5581db608a80ae61a0287d8dbfe1fcb24c036c6f90e8e5e2643,single_line,,bar_line_combination_out_of_scope,
construction,7be392f511992c41ccfdcc40f659566d6b97dc0795b26c4028659ea6b10a7dae,single_line,,rejected,crop_ocr_did_not_confirm_value
construction,7be392f511992c41ccfdcc40f659566d6b97dc0795b26c4028659ea6b10a7dae,single_line,,no_label_accepted,
construction,7cd155e36acc8283014a63b2a56150e3507a2fc789a0480aae088ef130c16794,multi_line,,bar_line_combination_out_of_scope,
construction,7e9e49fa4fd4e3a3bc926fb600778400dbe4c29b44282b6ea0be036080fb4adf,multi_line,,legend_unrecoverable_at_construction,
construction,7e9f8f2acd915018623562a652b860212d4565571880c6c4af1689827534d1a8,multi_line,,bar_line_combination_out_of_scope,
construction,800ff5c7a837baddc08b0df95f4816c6326bf94331ca12cbb60034957fac10e0,single_line,,no_coherent_x_anchor_sequence,
construction,8041c226357c8dcd4243c4e523aecfa8f1f00c811b6cabb6ea4090ce2c381073,single_line,,no_line_series_at_construction,
construction,814e714d7195f873aa170b607266565df60371a766fc84d67247a48c211f0f3e,single_line,,accepted,
construction,81b3e7adad3a1d086c5acf8bfc00b2aec185c3273117d4eec2adc78ef4fa38ed,single_line,,bar_line_combination_out_of_scope,
construction,81c2916fe1c4b6878c4df85a7e7408cc233dbab8aa74503a278161542d3846d0,single_line,,accepted,
construction,81ccb686afe8ba04fb61c60b8dba790cd2bf2fa827b41aed69436c7505f7510a,multi_line,,no_coherent_x_anchor_sequence,
construction,831efdf5408cdffad6ee9deae12dbc2ec0beb864a7bbf17040568b8800901f63,multi_line,,rejected,no_reliable_semantic_x_target
construction,831efdf5408cdffad6ee9deae12dbc2ec0beb864a7bbf17040568b8800901f63,multi_line,,rejected,crop_ocr_did_not_confirm_value
